country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,26000,21100,10500,7670,8990,8480,11700,10600,8190,11200,7890,588,152,886,450,514,6390,11400,15500,21700,29500,34600,40000,,
Burkina Faso,,776000,788000,,,,,866000,884000,902000,916000,924000,928000,940000,955000,963000,969000,981000,1010000,1040000,,1090000,1110000,1130000,1140000,1150000,,,1170000,1190000,1200000,1210000,1260000,1250000,1240000,1180000,1130000,1040000,928000,887000,1040000,946000,946000,945000,938000,917000,761000,747000,689000,748000,
Burundi,,,,476000,,,,,509000,,512000,505000,491000,462000,443000,429000,428000,408000,406000,,,,,503000,,,,,,,712000,613000,628000,591000,576000,540000,328000,235000,98500,122000,59800,,,,,,,74300,114000,141000,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,348000,314000,275000,144000,,,40800,,,97200,79800,98000,,117000,40900,41000,,84800,82600,134000,180000,186000,190000,
Cameroon,,357000,381000,414000,452000,392000,387000,416000,414000,417000,428000,,,,,,,,472000,,528000,587000,,,,,,,,,,,,,,,,,469000,397000,,363000,187000,,174000,164000,192000,259000,,347000,
Canada,,,,,,,,,,,,,85300,90600,103000,106000,99300,98600,99500,95100,96000,38500,44700,83200,96900,124000,103000,,20400,1740,1940,,,,,,,,,,,,12000,12500,13500,9240,1010,2750,5030,,
Cape Verde,,,,,,,,,,,,5280,5910,7360,4100,2680,2060,1470,229,,428,,,,536,,,,126,,334,1890,2320,2520,3450,2490,1530,1770,2150,2750,3360,4140,3900,4250,4200,4110,4420,4310,3970,,
Central African Republic,,134000,131000,128000,,,,152000,156000,,,150000,148000,146000,,,144000,191000,207000,213000,180000,208000,,,,,,,,,,,,,,338000,344000,301000,249000,255000,244000,265000,252000,,,,,,,,
Chad,,,,,,474000,,491000,,,,,,,,,,,618000,,,,,,,,769000,731000,692000,694000,698000,707000,683000,689000,,,,,,,,816000,,509000,,512000,675000,840000,694000,724000,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48900,40500,62800,42200,49500,51100,57300,56800,54400,45300,33900,19400,,
China,,,,,,,,,,,,,,,,,,7480000,5430000,3770000,3030000,3130000,4130000,5430000,7450000,9980000,12200000,13700000,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,944000,,1040000,1110000,1210000,1200000,1210000,1220000,,1120000,807000,786000,762000,639000,445000,,99500,54500,34600,124000,75700,,134000,5860,6190,12100,4540,28800,92400,112000,196000,,,141000,175000,100000,85800,,
Comoros,,,,,,,,,,,,,,6840,,,9760,14900,,,,,,,23400,,,,,34700,29400,,,,,,,20900,,,,,,13600,15300,,,17900,22700,,
"Congo, Dem. Rep.",,982000,1070000,,,1080000,,,,1100000,,,,1110000,1110000,,,,1850000,,,2210000,2400000,2570000,2600000,2160000,,,,4760000,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,38800,,26500,,21400,,13400,13200,37800,42100,41500,41300,38400,,,,,,,,,,,,,,,,,,,,,265000,254000,,,,88800,,73700,,,,,,,,
Costa Rica,48200,,41400,36900,,32800,25200,,28200,32800,33000,31700,38300,,,52500,51300,52700,,54900,56700,56300,49800,49500,55200,51100,42500,,,,,,,,,,,,,,,166,246,2080,9970,8010,6190,13800,509,555,
Cote d'Ivoire,,,,,,,,524000,,,,,,,,,,,,,,1030000,1060000,,,,1060000,1070000,,1090000,1140000,1060000,1090000,1250000,,,,,,1460000,,,,1140000,988000,865000,490000,431000,242000,199000,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36200,16200,12800,5000,614,502,,1820,1690,1930,5010,15800,9030,4790,1910,2220,1950,1850,2640,2300,2770,,
Cuba,,,85300,70700,59700,,,,,18900,31300,68500,88100,87600,103000,116000,102000,77900,74100,69700,72100,76200,56100,49100,28500,31000,12300,14800,14400,6500,4450,4180,1630,13300,16500,24900,33400,25700,26200,12600,7010,10300,16000,15700,37600,44300,40400,31500,15700,5700,
Cyprus,,16000,16600,16300,16500,20900,22400,22700,21900,21000,21100,18900,21000,20900,20800,20300,17300,14800,14200,14600,15600,16000,17900,1510,1990,2460,2520,2410,,63,1280,1350,724,517,482,15,37,114,228,198,19,82,710,973,1220,758,961,754,329,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4590,,,,,,,,202,2840,250,16,3220,2080,5050,3510,1030,1840,1850,2390,,
Denmark,,,,,,,,,,,,20600,16600,8810,4460,5140,5380,4520,3930,8170,8300,6050,8620,9980,4270,5640,6190,,1980,779,267,598,560,,7260,6010,4620,2050,2670,3780,4880,4180,2630,1170,2320,275,47,944,2810,,
Djibouti,,,,,,,,,,,,,,,,52500,54300,58400,62700,66400,68600,70200,69800,72900,73600,74800,77700,82000,,85900,85700,81700,79400,,74800,73300,70300,64900,49800,49200,,37900,,37500,29400,35300,37900,35600,33900,30100,30900
Dominica,,,,,,220,1110,1190,,2050,2120,2290,1710,,,,,,,,,,,,,,,,,,171,778,610,863,1030,1250,1290,1580,1420,722,,88,,,,,61,,,228,
Dominican Republic,,,194000,,,,,,,,,,,,,,,,,,,,,,,,,,,159000,144000,,67700,108000,171000,157000,171000,97900,141000,48800,54300,56100,70500,73000,93800,52400,53400,61800,65800,45800,
Ecuador,,207000,,214000,210000,223000,224000,193000,175000,139000,160000,,,,,,,,,,,,,,128000,121000,103000,62300,55700,60400,50700,27600,14200,15500,,38100,27500,16800,102000,17600,14300,16200,22000,19600,19400,18300,19900,21200,24600,,
Egypt,,1900000,1920000,1970000,,,,,2090000,,,,,,,,,,,,,,,,1020000,,,919000,,1090000,941000,860000,780000,699000,630000,740000,1020000,572000,,419000,233000,400000,93500,,44400,,57300,63300,77600,90700,
El Salvador,216000,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000,,62600,56800,42100,38200,,,,,,,,,,,50000,64800,74300,103000,95700,,
