,Country,2015,2016,2017,2018,2019
145,San Marino,0.00979,0.00695,0.0049700000000000005,0.0033799999999999998,0.0022199999999999998
146,Sao Tome and Principe,0.0188,0.0189,0.0188,0.0188,0.0189
147,Saudi Arabia,0.0256,0.0226,0.02,0.018000000000000002,0.0167
148,Senegal,0.0281,0.0281,0.027999999999999997,0.0278,0.0275
149,Serbia,-0.00495,-0.00524,-0.00532,-0.0054600000000000004,-0.0054
150,Seychelles,0.0223,0.0134,0.0122,0.00954,0.008879999999999999
151,Sierra Leone,0.0218,0.0216,0.0215,0.0214,0.0211
152,Singapore,0.0119,0.013000000000000001,0.000886,0.0047,0.0114
153,Slovak Republic,0.00095,0.0012900000000000001,0.00155,0.00139,0.00134
154,Slovenia,0.000752,0.000732,0.0006519999999999999,0.0036299999999999995,0.00675
155,Solomon Islands,0.027000000000000003,0.0267,0.0264,0.0261,0.0257
156,Somalia,0.0275,0.0278,0.027999999999999997,0.0283,0.0286
157,South Africa,0.0153,0.0146,0.0141,0.0136,0.0134
158,South Korea,0.00527,0.0039700000000000004,0.00281,0.00475,0.00198
159,South Sudan,0.0151,0.0108,0.0072,0.00595,0.00782
160,Spain,-0.000776,0.0008439999999999999,0.00235,0.004379999999999999,0.00594
161,Sri Lanka,0.0092,0.011000000000000001,0.0113,0.0105,0.0061200000000000004
162,St. Kitts and Nevis,0.008409999999999999,0.00821,0.0081,0.00758,0.007259999999999999
163,St. Lucia,0.00464,0.005,0.0051600000000000005,0.00515,0.00494
164,St. Vincent and the Grenadines,0.00263,0.00285,0.00336,0.0034799999999999996,0.00343
165,Sudan,0.0241,0.024,0.024,0.0239,0.0239
166,Suriname,0.0106,0.0102,0.00988,0.009590000000000001,0.0093
167,Sweden,0.0106,0.0126,0.0135,0.0116,0.0108
168,Switzerland,0.0114,0.0109,0.00933,0.007370000000000001,0.0070799999999999995
169,Syria,-0.0391,-0.0307,-0.0224,-0.00952,0.00965
170,Tajikistan,0.0241,0.0245,0.0247,0.0245,0.0239
171,Tanzania,0.03,0.03,0.03,0.0298,0.0295
172,Thailand,0.00402,0.00373,0.00345,0.00315,0.00283
173,Timor-Leste,0.0185,0.019,0.0195,0.0197,0.0196
174,Togo,0.0256,0.0252,0.0248,0.0245,0.0242
175,Tonga,-0.00245,0.00349,0.00852,0.0117,0.0125
176,Trinidad and Tobago,0.00584,0.00527,0.00471,0.00417,0.00367
177,Tunisia,0.0105,0.011000000000000001,0.0114,0.0115,0.0111
178,Turkey,0.0167,0.0163,0.0159,0.0149,0.0134
179,Turkmenistan,0.0179,0.0173,0.0167,0.0161,0.0155
180,Tuvalu,0.0115,0.0113,0.0128,0.0121,0.0119
181,Uganda,0.035,0.0365,0.0375,0.0372,0.0356
182,Ukraine,-0.0026100000000000003,-0.00331,-0.00386,-0.00466,-0.00533
183,United Arab Emirates,0.00527,0.0105,0.0134,0.015,0.0144
184,United Kingdom,0.00792,0.00758,0.006790000000000001,0.00606,0.00561
185,United States,0.00731,0.00717,0.0063100000000000005,0.005220000000000001,0.00474
186,Uruguay,0.0034,0.00355,0.00365,0.00367,0.0036
187,Uzbekistan,0.0174,0.0174,0.0168,0.0174,0.0188
188,Vanuatu,0.0271,0.0262,0.0255,0.0248,0.0243
189,Venezuela,0.00122,-0.007859999999999999,-0.0154,-0.0179,-0.0124
190,Vietnam,0.0104,0.0103,0.0102,0.00993,0.0096
191,Yemen,0.0258,0.025,0.0242,0.0236,0.023
192,Zambia,0.0307,0.03,0.0295,0.0291,0.0289
193,Zimbabwe,0.0166,0.0155,0.0146,0.0141,0.0142
